Country,Happiness Score,GDP per Capita,Social Support,Social Support,Healthy Life Expectancy,Healthy Life Expectancy,Freedom to Make Life Choices,Freedom to Make Life Choices,Generosity,Generosity,Perceptions of Corruption,Perceptions of Corruption,Year
Finland,7.808700085,1.285189509,0.954329729,1.499525905,71.9008255,0.961271405,0.949172199,0.66231674,-0.059482019,0.159670442,0.195444584,0.477857262,2020
Denmark,7.645599842,1.326948524,0.955990791,1.503449202,72.40250397,0.979332566,0.951444268,0.665039897,0.066201776,0.242793396,0.168489456,0.495260328,2020
Switzerland,7.559899807,1.39077425,0.942846596,1.472403407,74.10244751,1.040533185,0.921336651,0.62895447,0.105911039,0.269055754,0.303728431,0.407945901,2020
Iceland,7.504499912,1.326501608,0.974669576,1.547567487,73.0,1.000843406,0.948891878,0.661980748,0.246944219,0.362330228,0.711709738,0.144540772,2020
Norway,7.487999916,1.42420733,0.952486575,1.495172501,73.20078278,1.008071899,0.955750287,0.670200884,0.13453263,0.287985086,0.263218194,0.434100568,2020
Netherlands,7.448900223,1.338946342,0.93913883,1.463645935,72.30091858,0.975675344,0.908547819,0.61362648,0.20761244,0.336317569,0.364717126,0.368569762,2020
Sweden,7.353499889,1.322235227,0.926311195,1.433347702,72.60076904,0.986470461,0.939144194,0.650297701,0.111614622,0.272827893,0.250880182,0.442066371,2020
New Zealand,7.299600124,1.242317915,0.949118972,1.48721838,73.20262909,1.008138299,0.936217487,0.646789908,0.191598073,0.325726211,0.22113885,0.461268276,2020
Austria,7.294199944,1.317285538,0.928045869,1.437444925,73.00250244,1.000933528,0.899989486,0.603368878,0.085429221,0.255509764,0.499954879,0.281256139,2020
Luxembourg,7.237500191,1.536676049,0.906912208,1.387528419,72.59999847,0.986442685,0.90563643,0.610137045,-0.004620588,0.19595392,0.367084295,0.367041469,2020
Canada,7.23210001,1.301647663,0.927176654,1.435391903,73.60160065,1.022501945,0.933913231,0.644028127,0.124770768,0.28152892,0.390843362,0.351701856,2020
Australia,7.222799778,1.310396433,0.944854617,1.477146268,73.60453796,1.022607684,0.915431738,0.621877193,0.19046016,0.324973613,0.41516912,0.335996419,2020
United Kingdom,7.164500237,1.273061037,0.93668282,1.457844973,72.30160522,0.97570008,0.834743679,0.525168657,0.263732493,0.373433441,0.435915917,0.322601646,2020
Israel,7.128600121,1.216463685,0.913571239,1.403256774,73.20025635,1.008052945,0.747580588,0.420699477,0.10259372,0.266861796,0.78085506,0.09989845,2020
Costa Rica,7.121399879,0.981107712,0.901545942,1.374853611,71.29985046,0.939635336,0.934738934,0.645017743,-0.10242971,0.131266311,0.786332428,0.096362092,2020
Ireland,7.093699932,1.446886778,0.942081571,1.470596433,72.30078888,0.975670695,0.886982977,0.587779939,0.145784974,0.295426995,0.357184172,0.373433262,2020
Germany,7.075799942,1.314184546,0.898874462,1.368543744,72.20201874,0.972114801,0.867371082,0.564274132,0.080179386,0.252037704,0.456422031,0.309362292,2020
United States,6.939599991,1.37398684,0.914219022,1.404786706,68.29949951,0.831618011,0.842619538,0.534608245,0.149891734,0.298143059,0.699715316,0.152284741,2020
Czech Republic,6.910900116,1.212322354,0.914430678,1.40528667,70.04793549,0.89456445,0.818537354,0.505744576,-0.230861515,0.046325929,0.85844624,0.049803223,2020
Belgium,6.863500118,1.295842767,0.911632538,1.398677588,72.00164795,0.964901149,0.813582063,0.499805421,-0.078691199,0.146966159,0.612297952,0.208724052,2020
United Arab Emirates,6.790800095,1.431086421,0.849181116,1.251170993,67.08278656,0.787814438,0.941345513,0.652936101,0.123450845,0.28065598,0.594502211,0.220213518,2020
Malta,6.772799969,1.252513289,0.93037951,1.442956924,72.19999695,0.972042024,0.924911439,0.633239031,0.214965805,0.341180831,0.658547282,0.178864077,2020
France,6.663799763,1.268129349,0.937103748,1.458839178,73.80193329,1.029714227,0.825467646,0.514050901,-0.130641967,0.112607703,0.583521128,0.227303237,2020
Mexico,6.465000153,1.024387479,0.838665426,1.226333499,68.29902649,0.831601024,0.858709276,0.553892553,-0.175266623,0.083094485,0.806821585,0.083133668,2020
Taiwan Province of China,6.45539999,1.327470541,0.894309103,1.357760668,69.59999847,0.878437996,0.77153033,0.449404389,-0.073198698,0.150598705,0.73188293,0.131516352,2020
Uruguay,6.440100193,1.071000457,0.92281127,1.425081134,69.00254822,0.856928885,0.892395437,0.59426707,-0.101103112,0.132143691,0.635994136,0.193425074,2020
Saudi Arabia,6.406499863,1.334328532,0.874067068,1.309950113,66.30514526,0.759818137,0.854191244,0.548477471,-0.168695062,0.087440684,0.682619512,0.163322315,2020
Spain,6.400899887,1.230535269,0.921125412,1.421099186,74.40270996,1.051343083,0.751989543,0.425983816,-0.050961714,0.16530548,0.765859902,0.109579779,2020
Guatemala,6.398900032,0.753815711,0.816621482,1.174267054,64.8089447,0.705952585,0.908147573,0.613146722,-0.042938665,0.170611665,0.783237457,0.0983603,2020
Italy,6.38740015,1.236396074,0.889878571,1.347296,73.60168457,1.022504926,0.66465199,0.321305573,-0.043460999,0.170266211,0.873404682,0.040145598,2020
Singapore,6.377099991,1.519580126,0.910268962,1.39545691,76.80458069,1.137814283,0.926645339,0.635317206,0.029879224,0.218770906,0.109784193,0.533162236,2020
Brazil,6.375599861,0.952679873,0.896723807,1.363464117,66.48016357,0.766119063,0.799804807,0.483292729,-0.101812392,0.131674588,0.770601273,0.106518604,2020
Slovenia,6.363399982,1.208652496,0.939575672,1.464677691,71.1029892,0.932548046,0.936142623,0.646700144,-0.080603383,0.145701498,0.817071021,0.076516323,2020
El Salvador,6.34829998,0.748940408,0.806092262,1.149397612,66.10826111,0.752730012,0.833805263,0.524043918,-0.121072978,0.1189363,0.754319906,0.117030352,2020
Kosovo,6.325200081,0.840481341,0.820726514,1.183962822,63.88555527,0.672709167,0.861535907,0.557280421,0.190933764,0.325286865,0.922328293,0.008559024,2020
Panama,6.304800034,1.097667813,0.902094483,1.376149297,69.60301208,0.878546536,0.880366504,0.57984978,-0.153927714,0.097207308,0.851588905,0.054230526,2020
Slovakia,6.280600071,1.194837689,0.922493756,1.424331188,68.90634155,0.853465259,0.749952674,0.423542529,-0.124409303,0.116729774,0.918096125,0.011291441,2020
Uzbekistan,6.257599831,0.696652949,0.926595807,1.434020042,65.10757446,0.716703713,0.974998116,0.693270326,0.248427153,0.363311023,0.501497388,0.280260265,2020
Chile,6.228499889,1.096992493,0.879713595,1.323286891,69.90061951,0.889260828,0.744896293,0.417482227,-0.065668367,0.155579001,0.838239431,0.06284935,2020
Bahrain,6.227300167,1.296692252,0.876342118,1.31532371,68.5,0.838836372,0.905855775,0.610399902,0.13372919,0.287453711,0.7393471,0.126697257,2020
Lithuania,6.215499878,1.193559647,0.926107109,1.432865739,67.29407501,0.795421183,0.747381449,0.42046079,-0.219725296,0.053691041,0.809583843,0.081350274,2020
Trinidad and Tobago,6.191899776,1.167641521,0.91529417,1.407326221,63.5,0.658828557,0.857907116,0.55293113,0.000526841,0.199358255,0.912230611,0.015078396,2020
Poland,6.186299801,1.16922915,0.874257445,1.310399771,69.31113434,0.868038476,0.862055779,0.557903528,-0.205084071,0.063374244,0.686927021,0.160541251,2020
Colombia,6.163400173,0.93220371,0.884440243,1.33445096,67.69958496,0.810020149,0.836179912,0.526890039,-0.161235645,0.092374094,0.86457181,0.04584837,2020
Cyprus,6.15899992,1.21279943,0.805996239,1.149170756,73.70222473,1.026124597,0.779858291,0.459385872,0.043731496,0.227932334,0.856271744,0.051207144,2020
Nicaragua,6.13710022,0.620033145,0.857497036,1.27081275,67.50717926,0.803093255,0.863902867,0.560117304,0.020959141,0.212871477,0.665950119,0.174084574,2020
Romania,6.123700142,1.120401621,0.825161517,1.1944381,67.20723724,0.79229486,0.842823207,0.534852326,-0.19781521,0.068181619,0.934300244,0.000829569,2020
Kuwait,6.102099895,1.424833655,0.846475244,1.244779825,66.76764679,0.776468933,0.872366488,0.570261419,-0.100184701,0.132751092,0.760849059,0.112814933,2020
Mauritius,6.101299763,1.07366395,0.910357833,1.395666838,66.40434265,0.763389409,0.889534533,0.590838134,-0.018318573,0.186894551,0.805343091,0.084088229,2020
Kazakhstan,6.057899952,1.122594237,0.934744895,1.453267694,64.60996246,0.698788941,0.811601937,0.497432142,-0.068488635,0.153713793,0.764490843,0.110463686,2020
Estonia,6.021800041,1.192441225,0.934729993,1.453232527,68.60495758,0.842615008,0.87770915,0.576664805,-0.111697771,0.125136748,0.623073816,0.201766819,2020
Philippines,6.006000042,0.775120676,0.846730053,1.245381713,61.92676163,0.602189481,0.915463448,0.621915162,-0.105463006,0.129260212,0.733634114,0.130385727,2020
Hungary,6.000400066,1.164307117,0.921934128,1.423009396,67.60997009,0.806793869,0.718964577,0.386401802,-0.194323018,0.070491239,0.892916501,0.027548173,2020
Thailand,5.998799801,1.007029295,0.889973223,1.347519517,67.25059509,0.793855846,0.905063033,0.609449804,0.268685192,0.376709014,0.886272311,0.031837862,2020
Argentina,5.974699974,1.028465629,0.900567949,1.372543693,68.80380249,0.849773705,0.831132412,0.520840347,-0.194913864,0.070100471,0.842009842,0.060415059,2020
Honduras,5.953199863,0.598763585,0.821870148,1.186664104,67.19876862,0.791989982,0.870603263,0.568148077,0.086969115,0.256528199,0.801131904,0.086807102,2020
Latvia,5.949999809,1.14139545,0.918288589,1.414398789,66.8074646,0.777902424,0.671237648,0.329198807,-0.186888844,0.075407945,0.795580089,0.090391524,2020
Ecuador,5.925199986,0.853383601,0.836418986,1.221027613,68.50003815,0.838837743,0.859828949,0.555234551,-0.127014965,0.115006477,0.801215112,0.086753383,2020
Portugal,5.910900116,1.168800831,0.886590719,1.339530349,72.40202332,0.979315281,0.888747811,0.589895189,-0.220714301,0.053036947,0.892629504,0.027733466,2020
Jamaica,5.889800072,0.779058397,0.915701866,1.408289194,67.09999847,0.788434088,0.858068526,0.553124607,-0.125106767,0.116268493,0.888890028,0.030147785,2020
South Korea,5.872399807,1.245300651,0.799387157,1.133560538,73.6027298,1.022542596,0.612965107,0.25935635,-0.043404032,0.170303866,0.789067447,0.094596282,2020
Japan,5.870800018,1.26672411,0.883545935,1.332338691,75.00096893,1.072881341,0.809961379,0.495465875,-0.246910349,0.03571178,0.654558063,0.181439638,2020
Peru,5.796800137,0.91854918,0.831075251,1.208405972,68.10023499,0.824444175,0.824766099,0.513210058,-0.16238822,0.091611817,0.893714964,0.02703266,2020
Serbia,5.77820015,0.988181829,0.881475747,1.327448964,68.21020508,0.828403294,0.726495862,0.395428419,-0.073676221,0.15028289,0.843509018,0.059447147,2020
Bolivia,5.747499943,0.730976343,0.803108692,1.142350554,63.6004715,0.662445664,0.875873327,0.5744645,-0.09168113,0.138375074,0.822606206,0.072942637,2020
Pakistan,5.69329977,0.616799474,0.689062297,0.872979581,58.25313568,0.469933242,0.734833717,0.405421734,0.04489987,0.228705063,0.745705426,0.122592121,2020
Paraguay,5.692100048,0.897990823,0.898727894,1.36819756,65.63993835,0.735869646,0.885923445,0.586510062,0.007997713,0.204299241,0.834788501,0.065077379,2020
Dominican Republic,5.689199924,0.983191848,0.882085383,1.328888893,65.80748749,0.741901696,0.866202772,0.5628739,-0.131263286,0.112196781,0.755999923,0.115945682,2020
Bosnia and Herzegovina,5.674099922,0.91839546,0.829204142,1.203986526,67.80813599,0.813928187,0.651352704,0.305365741,0.098274559,0.264005244,0.933769107,0.001172487,2020
Moldova,5.607500076,0.707916796,0.843313575,1.237312198,65.01301575,0.713299453,0.721609175,0.389571488,-0.037741039,0.174049184,0.913314283,0.014378744,2020
Tajikistan,5.555699825,0.474874616,0.835297108,1.218377709,64.10459137,0.680594802,0.831383407,0.521141171,-0.025088511,0.182417125,0.592076063,0.221779913,2020
Montenegro,5.54610014,1.010150075,0.855314612,1.265657902,68.50534821,0.839028895,0.649565637,0.303223848,-0.075600356,0.14901033,0.783121586,0.098435111,2020
Russia,5.546000004,1.126999617,0.903150737,1.378644109,64.10045624,0.68044591,0.729892612,0.399499595,-0.151153743,0.099041916,0.864802599,0.045699362,2020
Kyrgyzstan,5.541500092,0.513180971,0.887228489,1.341036677,64.10601044,0.680645883,0.909374893,0.614617765,0.154772058,0.30137074,0.888396084,0.030466691,2020
Belarus,5.539899826,1.018854499,0.90674746,1.38713932,66.10433197,0.75258857,0.639163077,0.290755868,-0.164926544,0.08993306,0.63571167,0.193607435,2020
North Cyprus,5.53550005,1.21279943,0.820356607,1.183089137,73.70222473,1.026124597,0.79529351,0.477885723,0.000227159,0.199160054,0.62611568,0.199802905,2020
Greece,5.514999866,1.128070116,0.814380348,1.168973565,72.40525818,0.979431748,0.541345119,0.173516348,-0.300907373,0.0,0.859931409,0.048844352,2020
Hong Kong S.A.R. of China,5.510399818,1.376746058,0.845969081,1.243584275,76.77170563,1.136630654,0.779833794,0.459356517,0.134979904,0.288280904,0.420607209,0.332485437,2020
Croatia,5.504700184,1.109024286,0.874623716,1.311264873,70.21490479,0.900575578,0.714838803,0.381456882,-0.128538325,0.113998979,0.916495264,0.012325006,2020
Libya,5.488800049,1.021913767,0.825942934,1.196283698,62.29999924,0.615626633,0.773157001,0.451354057,-0.085054487,0.142757699,0.668779135,0.172258079,2020
Mongolia,5.456200123,0.904872775,0.937142491,1.458930612,62.30448532,0.615788162,0.693351328,0.355703115,0.098093867,0.263885736,0.863511205,0.046533126,2020
Malaysia,5.384300232,1.168421626,0.816509426,1.17400229,67.10215759,0.788511872,0.894626856,0.596941531,0.114726797,0.274886161,0.839302301,0.062163133,2020
Vietnam,5.353499889,0.718092382,0.849987149,1.253074765,67.9527359,0.819133997,0.939592957,0.650835574,-0.094533332,0.136488721,0.79642123,0.089848459,2020
Indonesia,5.285600185,0.891720712,0.808379889,1.154800892,62.15584946,0.610437036,0.870614409,0.568161428,0.519586504,0.542646527,0.876296401,0.038278613,2020
Ivory Coast,5.233300209,0.537094414,0.658048689,0.799727261,49.50377274,0.154942513,0.727909327,0.397122532,-0.043991156,0.169915587,0.790771961,0.093495794,2020
Benin,5.21600008,0.366244704,0.468671143,0.352428436,54.31246567,0.328062952,0.735182583,0.40583989,-0.003537213,0.196670428,0.740532577,0.125931874,2020
Maldives,5.197599888,0.937864304,0.91316092,1.402287602,70.59999847,0.914439559,0.853962779,0.548203647,0.038085498,0.224198252,0.824211061,0.071906492,2020
Congo (Brazzaville),5.194399834,0.633616745,0.640228093,0.757636011,57.92448044,0.458101124,0.719058514,0.386514395,-0.123674095,0.117216013,0.751779079,0.118670784,2020
Azerbaijan,5.164800167,0.990272701,0.819308281,1.180613041,65.50839996,0.731134057,0.786824107,0.467734724,-0.240255281,0.040113214,0.55253756,0.247307181,2020
