Country,Happiness Score,GDP per Capita,Social Support,Social Support,Healthy Life Expectancy,Healthy Life Expectancy,Freedom to Make Life Choices,Freedom to Make Life Choices,Generosity,Generosity,Perceptions of Corruption,Perceptions of Corruption,Year
Macedonia,5.159800053,0.935371995,0.820392311,1.183173537,67.50442505,0.802994132,0.738840938,0.410224587,-0.019877451,0.18586354,0.897490501,0.024595059,2020
Ghana,5.147999763,0.575862467,0.728601098,0.96636796,57.20398712,0.432162255,0.794796526,0.477290064,0.094170853,0.261291206,0.847964764,0.056570381,2020
Nepal,5.137199879,0.444050372,0.785512447,1.100789309,63.77917862,0.66887939,0.797565043,0.480608255,0.154168829,0.300971806,0.738099158,0.127502963,2020
Turkey,5.131800175,1.127169251,0.826313555,1.197159171,66.90281677,0.781335294,0.608830452,0.25440076,-0.171046436,0.085885569,0.748197377,0.120983243,2020
China,5.123899937,0.990533412,0.798760593,1.132080674,69.2891922,0.867248535,0.898517907,0.601605117,-0.18142575,0.079021044,0.7539711,0.117255554,2020
Turkmenistan,5.119100094,1.008963585,0.958966196,1.510476947,62.21170807,0.612448037,0.826457024,0.515236676,0.187671542,0.323129326,0.883691847,0.03350389,2020
Bulgaria,5.101500034,1.046554685,0.937840343,1.460578918,66.80397797,0.777776897,0.745178163,0.417820066,-0.143908441,0.103833713,0.935585141,0.0,2020
Morocco,5.094799995,0.75862211,0.592628479,0.645208478,65.89624023,0.745096922,0.772072434,0.450054139,-0.240377247,0.040032551,0.815724611,0.077385604,2020
Cameroon,5.084899902,0.503958046,0.700386405,0.89972645,52.7049408,0.270189553,0.763051808,0.439242482,-0.00149645,0.198020101,0.851336598,0.054393422,2020
Venezuela,5.053199768,0.770238638,0.890408158,1.348546863,66.50534058,0.76702553,0.62327832,0.271717221,-0.169090509,0.087179154,0.837038398,0.063624777,2020
Algeria,5.005099773,0.943856001,0.803385139,1.143003583,65.90517426,0.745418549,0.466610909,0.083943799,-0.121105164,0.118915014,0.735485137,0.129190654,2020
Senegal,4.980800152,0.504061818,0.723616004,0.95459342,59.59915161,0.518391907,0.690596163,0.352400899,-0.052335154,0.164397135,0.808785141,0.081865937,2020
Guinea,4.949299812,0.390007734,0.637573481,0.75136596,54.46780014,0.333655238,0.706846774,0.371878058,0.076328471,0.249490842,0.761794448,0.112204559,2020
Niger,4.909599781,0.108330332,0.617435038,0.703800142,53.50009537,0.298816353,0.759772122,0.435311615,0.013860817,0.208176896,0.722530186,0.137554765,2020
Laos,4.888599873,0.714693844,0.737502217,0.987391889,58.70992279,0.486378282,0.907213569,0.612027287,0.11137148,0.27266711,0.634679317,0.194273964,2020
Albania,4.882699966,0.906653047,0.671070457,0.830483913,68.70813751,0.846329629,0.781994224,0.461945891,-0.042309489,0.171027765,0.896303713,0.025361285,2020
Cambodia,4.848400116,0.544634938,0.773080647,1.071426034,61.52996826,0.587904334,0.959704638,0.674940348,0.051911179,0.233342081,0.822769046,0.072837502,2020
Bangladesh,4.832799911,0.556156278,0.687292993,0.868800581,64.50306702,0.694940507,0.90062499,0.604130566,-0.033664726,0.176745117,0.661843538,0.176735908,2020
Gabon,4.829299927,0.988044381,0.787886858,1.10639751,59.71533966,0.522574842,0.704829216,0.369459897,-0.222261623,0.052013602,0.849150956,0.055804539,2020
South Africa,4.814099789,0.902140439,0.852532268,1.259086251,56.50601196,0.407034069,0.759330094,0.43478182,-0.109777324,0.126406848,0.843423843,0.05950214,2020
Iraq,4.784800053,0.982018709,0.747694969,1.011466622,59.90354919,0.529350698,0.633182645,0.283588052,-0.06956476,0.153002068,0.82226181,0.073164992,2020
Lebanon,4.771500111,0.889232516,0.824338138,1.19249332,67.10658264,0.788671136,0.551357508,0.18551667,-0.06121527,0.158524141,0.90225625,0.021518147,2020
Burkina Faso,4.768700123,0.302467644,0.712943614,0.9293859,53.88945389,0.312833875,0.665563583,0.322398156,-0.019080516,0.186390609,0.739795029,0.126408055,2020
Gambia,4.750599861,0.256990552,0.6931687,0.882678688,55.0120163,0.353247881,0.733163178,0.403419524,0.343198717,0.425989687,0.690717816,0.158093795,2020
Mali,4.729300022,0.352462649,0.731468976,0.97314173,51.72698212,0.234981522,0.71156615,0.377534449,-0.044366926,0.16966705,0.839328408,0.062146276,2020
Nigeria,4.724100113,0.645901859,0.73721689,0.986717939,49.86190796,0.167835936,0.759578407,0.435079455,0.033745807,0.221328124,0.861874342,0.047589935,2020
Armenia,4.676799774,0.808262408,0.757479429,1.034576893,66.75065613,0.77585727,0.712017834,0.378075808,-0.13877961,0.107225738,0.773544788,0.104618184,2020
Georgia,4.672599792,0.847198069,0.629033029,0.7311939,64.49520874,0.694657624,0.801641524,0.485494107,-0.22892037,0.047609735,0.665944695,0.174088076,2020
Iran,4.672399998,1.029322505,0.694689691,0.886271179,66.00614929,0.749053836,0.647873282,0.301195472,0.117891103,0.27697894,0.714635968,0.142651513,2020
Jordan,4.633399963,0.785179198,0.80216372,1.140118599,66.79975128,0.777624726,0.75104779,0.424855083,-0.162565202,0.091494769,0.700344324,0.151878625,2020
Mozambique,4.623600006,0.178741366,0.723874032,0.955202878,54.20582199,0.324223638,0.864451885,0.56077534,0.032375868,0.220422104,0.683019102,0.163064316,2020
Kenya,4.583000183,0.476413399,0.702652037,0.905077755,60.09693146,0.536312759,0.829747558,0.519180536,0.294681519,0.393902093,0.831499159,0.067201078,2020
Namibia,4.571100235,0.84008199,0.846880972,1.245738149,56.50148773,0.40687117,0.767520964,0.444598973,-0.18530646,0.076454483,0.851449788,0.054320343,2020
Ukraine,4.56069994,0.780434608,0.878879368,1.321316481,64.60678101,0.698674381,0.663081884,0.319423705,-0.030933706,0.178551316,0.920636714,0.00965116,2020
Liberia,4.557899952,0.174103007,0.70928055,0.920733929,56.09631348,0.392284274,0.735268712,0.405943096,0.04227322,0.226967871,0.856375933,0.051139876,2020
Palestinian Territories,4.552800179,0.587819219,0.825295925,1.194755554,62.25,0.613826573,0.645791829,0.29870075,-0.162079096,0.091816261,0.824199975,0.071913652,2020
Uganda,4.43200016,0.312337428,0.764994621,1.052327394,55.70820236,0.378311664,0.731713951,0.401682556,0.099487431,0.264807373,0.836737812,0.063818842,2020
Chad,4.422699928,0.302287489,0.632388055,0.739118278,48.22053909,0.1087441,0.587305248,0.228601769,0.017834719,0.210805088,0.802760839,0.085755408,2020
Tunisia,4.392199993,0.874742687,0.688718557,0.872167706,66.89785767,0.781156719,0.593361557,0.235860556,-0.216413811,0.055881143,0.867590249,0.043899573,2020
Mauritania,4.374599934,0.539684892,0.790819228,1.113323569,57.01017761,0.425184816,0.551522553,0.185714483,-0.106008142,0.128899664,0.746223509,0.122257635,2020
Sri Lanka,4.327000141,0.897986948,0.825374067,1.19494009,67.20006561,0.792036712,0.837633669,0.528632462,0.081129618,0.252666146,0.859001756,0.049444564,2020
Congo (Kinshasa),4.31099987,0.062487468,0.672159016,0.833055019,52.90000153,0.277212054,0.700793564,0.36462298,0.083637655,0.254324883,0.809403598,0.081466645,2020
Swaziland,4.308100224,0.827539742,0.770290196,1.064835191,51.18823624,0.215585828,0.646822274,0.299935788,-0.19920142,0.067264833,0.708263338,0.146765873,2020
Myanmar,4.308000088,0.67809093,0.78440702,1.098178267,58.96171188,0.495443076,0.895075202,0.597478867,0.560663998,0.569813728,0.645124316,0.187530354,2020
Comoros,4.288599968,0.415620774,0.625662446,0.723232806,57.34901047,0.437383324,0.547612607,0.181028232,0.090008408,0.258538276,0.780622602,0.100048535,2020
Togo,4.187200069,0.268116266,0.551312625,0.547622859,54.71989822,0.342731178,0.649828613,0.303539038,0.002667875,0.200774252,0.757733464,0.114826456,2020
Ethiopia,4.186200142,0.315125644,0.743307352,1.001103282,58.63959122,0.483846247,0.740795195,0.41256687,0.043377332,0.227698103,0.753690004,0.117437035,2020
Madagascar,4.165599823,0.244553208,0.668195903,0.823694348,59.10542679,0.500617027,0.557574093,0.192967549,-0.011823639,0.191190064,0.817485631,0.076248638,2020
Egypt,4.151400089,0.875228941,0.735447824,0.982539535,61.78015137,0.596911311,0.708354175,0.373684734,-0.196878314,0.068801254,0.787726879,0.095461793,2020
Sierra Leone,3.926399946,0.240560383,0.636142015,0.747984946,50.86514282,0.203953966,0.715315044,0.382027686,0.088660747,0.257647008,0.861330688,0.047940936,2020
Burundi,3.775300026,0.0,0.490325719,0.403575271,53.40000153,0.295212835,0.626350224,0.275399059,-0.017551597,0.187401786,0.606934547,0.212186828,2020
Zambia,3.759399891,0.536833763,0.698824465,0.896037281,55.29937744,0.36359334,0.806500256,0.49131754,0.078037128,0.250620902,0.801289678,0.086705238,2020
Haiti,3.720799923,0.284734428,0.593247831,0.646671355,55.59862518,0.37436673,0.537825167,0.169297516,0.40053457,0.463909656,0.684767246,0.161935672,2020
Lesotho,3.652800083,0.45493874,0.780495703,1.088940024,48.00362396,0.100934811,0.738125861,0.409367532,-0.145732045,0.102627642,0.857392073,0.050483823,2020
India,3.573299885,0.730576158,0.592200935,0.644198656,60.21518707,0.54057014,0.881444871,0.581142247,0.057551607,0.237072483,0.772042692,0.105587982,2020
Malawi,3.538000107,0.176534727,0.544007301,0.53036809,57.59288788,0.446163297,0.803223193,0.487389833,0.021433279,0.213185057,0.731700778,0.131633952,2020
Yemen,3.527400017,0.392701775,0.817980587,1.177477121,56.72728348,0.41500017,0.599920273,0.243721485,-0.157735437,0.094689012,0.800287724,0.087352127,2020
Botswana,3.478899956,0.997548997,0.779121757,1.08569479,58.92445374,0.494101733,0.821328104,0.50908941,-0.250394493,0.033407487,0.777930915,0.101786368,2020
Tanzania,3.476200104,0.457163125,0.688933194,0.872674644,57.49607468,0.442677855,0.82153976,0.509343088,0.109668687,0.27154091,0.619799435,0.203880861,2020
Central African Republic,3.475899935,0.041072082,0.319459856,0.0,45.20000076,0.0,0.640880644,0.292814463,0.082410358,0.253513217,0.891806662,0.028264718,2020
Rwanda,3.312299967,0.343242675,0.54083544,0.522876322,61.09884644,0.572383285,0.900589406,0.604087889,0.055483952,0.235704988,0.183541179,0.485542476,2020
Zimbabwe,3.299200058,0.425564021,0.763092756,1.047835231,55.61725998,0.375037611,0.711457908,0.37740472,-0.072063953,0.151349187,0.81023699,0.080928579,2020
South Sudan,2.816600084,0.289082974,0.553707123,0.553278506,51.0,0.208809033,0.451313615,0.065609254,0.016518548,0.209934607,0.763417304,0.111156799,2020
Afghanistan,2.566900015,0.30070585,0.470366955,0.356433839,52.59000015,0.266051531,0.396573007,0.0,-0.0964294,0.135234714,0.933686554,0.001225785,2020
