Country,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Life Choices,Generosity,Perceptions of Corruption,Year
Liberia,0.636,0.67,0.309,0.405,0.178,0.08,2022
Ukraine,1.411,1.081,0.583,0.473,0.188,0.017,2022
Congo,0.95,0.405,0.355,0.431,0.13,0.146,2022
Morocco,1.208,0.268,0.565,0.492,0.02,0.102,2022
Mozambique,0.578,0.66,0.191,0.593,0.185,0.2,2022
Cameroon,0.968,0.672,0.317,0.397,0.152,0.074,2022
Senegal,0.933,0.53,0.447,0.494,0.143,0.081,2022
Niger,0.57,0.56,0.326,0.571,0.165,0.145,2022
Georgia,1.467,0.612,0.595,0.508,0.0,0.208,2022
Gabon,1.459,0.738,0.396,0.343,0.032,0.099,2022
Iraq,1.289,0.682,0.554,0.328,0.147,0.046,2022
Venezuela,0.0,0.968,0.578,0.283,0.225,0.082,2022
Guinea,0.848,0.566,0.275,0.334,0.214,0.116,2022
Iran,1.41,0.741,0.642,0.281,0.241,0.146,2022
Ghana,1.112,0.595,0.409,0.5,0.23,0.056,2022
Turkey,1.707,0.865,0.702,0.209,0.087,0.115,2022
Burkina Faso,0.779,0.565,0.32,0.382,0.186,0.126,2022
Cambodia,1.019,0.732,0.505,0.74,0.166,0.068,2022
Benin,0.932,0.064,0.335,0.479,0.127,0.23,2022
Comoros,0.899,0.476,0.424,0.185,0.195,0.125,2022
Uganda,0.777,0.875,0.418,0.402,0.222,0.066,2022
Nigeria,1.079,0.732,0.3,0.444,0.175,0.038,2022
Kenya,1.032,0.605,0.401,0.44,0.322,0.082,2022
Tunisia,1.35,0.596,0.656,0.316,0.029,0.029,2022
Pakistan,1.049,0.413,0.374,0.448,0.181,0.112,2022
Palestinian Territories,1.148,0.957,0.521,0.336,0.073,0.079,2022
Mali,0.792,0.483,0.311,0.35,0.128,0.042,2022
Namibia,1.292,0.877,0.354,0.384,0.067,0.071,2022
"Eswatini, Kingdom of",1.274,0.786,0.197,0.259,0.038,0.154,2022
Myanmar,1.038,0.829,0.491,0.513,0.452,0.194,2022
Sri Lanka,1.415,0.934,0.66,0.529,0.15,0.079,2022
Madagascar,0.67,0.645,0.378,0.202,0.143,0.154,2022
Egypt,1.388,0.732,0.548,0.469,0.041,0.254,2022
Chad,0.662,0.506,0.225,0.18,0.182,0.077,2022
Ethiopia,0.788,0.809,0.457,0.472,0.205,0.136,2022
Yemen,0.691,1.043,0.384,0.33,0.09,0.098,2022
Mauritania,1.1,0.865,0.45,0.304,0.088,0.138,2022
Jordan,1.324,0.724,0.675,0.476,0.058,0.2,2022
Togo,0.771,0.322,0.36,0.292,0.174,0.132,2022
India,1.167,0.376,0.471,0.647,0.198,0.123,2022
Zambia,0.93,0.577,0.306,0.525,0.203,0.083,2022
Malawi,0.648,0.279,0.388,0.477,0.14,0.157,2022
Tanzania,0.848,0.597,0.425,0.578,0.248,0.27,2022
Sierra Leone,0.686,0.416,0.273,0.387,0.202,0.055,2022
Lesotho,0.839,0.848,0.0,0.419,0.076,0.018,2022
Botswana,1.503,0.815,0.28,0.571,0.012,0.102,2022
Rwanda,0.785,0.133,0.462,0.621,0.187,0.544,2022
Zimbabwe,0.947,0.69,0.27,0.329,0.106,0.105,2022
Lebanon,1.392,0.498,0.631,0.103,0.082,0.034,2022
Afghanistan,0.758,0.0,0.289,0.0,0.089,0.005,2022
