Country,Social Support,Freedom to Make Life Choices,Generosity,Perceptions of Corruption,Year
Afghanistan,0.451,0.718,0.168,0.882,2021
Afghanistan,0.552,0.679,0.19,0.85,2021
Afghanistan,0.539,0.6,0.121,0.707,2021
Afghanistan,0.521,0.496,0.162,0.731,2021
Afghanistan,0.521,0.531,0.236,0.776,2021
Afghanistan,0.484,0.578,0.061,0.823,2021
Afghanistan,0.526,0.509,0.104,0.871,2021
Afghanistan,0.529,0.389,0.08,0.881,2021
Afghanistan,0.559,0.523,0.042,0.793,2021
Afghanistan,0.491,0.427,-0.121,0.954,2021
Afghanistan,0.508,0.374,-0.094,0.928,2021
Afghanistan,0.42,0.394,-0.108,0.924,2021
Albania,0.821,0.529,-0.009,0.875,2021
Albania,0.833,0.525,-0.158,0.864,2021
Albania,0.733,0.569,-0.172,0.726,2021
Albania,0.759,0.487,-0.205,0.877,2021
Albania,0.785,0.602,-0.169,0.848,2021
Albania,0.759,0.632,-0.127,0.863,2021
Albania,0.626,0.735,-0.025,0.883,2021
Albania,0.639,0.704,-0.081,0.885,2021
Albania,0.638,0.73,-0.017,0.901,2021
Albania,0.638,0.75,-0.029,0.876,2021
Albania,0.684,0.824,0.009,0.899,2021
Albania,0.686,0.777,-0.099,0.914,2021
Albania,0.71,0.754,0.007,0.891,2021
Algeria,0.81,0.53,-0.181,0.638,2021
Algeria,0.839,0.587,-0.172,0.69,2021
Algeria,0.807,0.437,-0.167,0.7,2021
Algeria,0.799,0.583,-0.146,0.759,2021
Algeria,0.803,0.385,0.005,0.741,2021
Angola,0.723,0.584,0.055,0.911,2021
Angola,0.753,0.456,-0.136,0.906,2021
Angola,0.722,0.41,-0.104,0.816,2021
Angola,0.755,0.375,-0.168,0.834,2021
Argentina,0.938,0.733,-0.157,0.852,2021
Argentina,0.862,0.653,-0.141,0.881,2021
Argentina,0.892,0.678,-0.132,0.865,2021
Argentina,0.919,0.637,-0.13,0.885,2021
Argentina,0.927,0.73,-0.126,0.855,2021
Argentina,0.889,0.816,-0.174,0.755,2021
Argentina,0.902,0.747,-0.148,0.817,2021
Argentina,0.91,0.737,-0.13,0.823,2021
Argentina,0.918,0.745,-0.164,0.854,2021
