Year,Country,Continent,Happiness Score,Average Continent Happiness Score,GDP per Capita,Average Continent GDP per Capita,Social Support,Average Continent Social Support,Healthy Life Expectancy,Average Continent Healthy Life Expectancy,Freedom to Make Life Choices,Average Continent Freedom to Make Life Choices,Generosity,Average Continent Generosity,Perceptions of Corruption,Average Continent Perceptions of Corruption
2020,Finland,Europe,7.808700085,6.361702501775,10.63926697,10.273205376,0.954329729,0.898729473425,71.9008255,70.02719488225,0.949172199,0.8057015002,-0.059482019,-0.033935923949999995,0.195444584,0.685500091325
2020,Denmark,Europe,7.645599842,6.361702501775,10.77400112,10.273205376,0.955990791,0.898729473425,72.40250397,70.02719488225,0.951444268,0.8057015002,0.066201776,-0.033935923949999995,0.168489456,0.685500091325
2020,Switzerland,Europe,7.559899807,6.361702501775,10.97993279,10.273205376,0.942846596,0.898729473425,74.10244751,70.02719488225,0.921336651,0.8057015002,0.105911039,-0.033935923949999995,0.303728431,0.685500091325
2020,Iceland,Europe,7.504499912,6.361702501775,10.77255917,10.273205376,0.974669576,0.898729473425,73.0,70.02719488225,0.948891878,0.8057015002,0.246944219,-0.033935923949999995,0.711709738,0.685500091325
2020,Norway,Europe,7.487999916,6.361702501775,11.08780384,10.273205376,0.952486575,0.898729473425,73.20078278,70.02719488225,0.955750287,0.8057015002,0.13453263,-0.033935923949999995,0.263218194,0.685500091325
2020,Netherlands,Europe,7.448900223,6.361702501775,10.81271172,10.273205376,0.93913883,0.898729473425,72.30091858,70.02719488225,0.908547819,0.8057015002,0.20761244,-0.033935923949999995,0.364717126,0.685500091325
2020,Sweden,Europe,7.353499889,6.361702501775,10.75879383,10.273205376,0.926311195,0.898729473425,72.60076904,70.02719488225,0.939144194,0.8057015002,0.111614622,-0.033935923949999995,0.250880182,0.685500091325
2020,New Zealand,Oceania,7.299600124,7.261199951,10.50094318,10.610769744999999,0.949118972,0.9469867944999999,73.20262909,73.403583525,0.936217487,0.9258246125,0.191598073,0.19102911649999998,0.22113885,0.31815398500000003
2020,Austria,Europe,7.294199944,6.361702501775,10.7428236,10.273205376,0.928045869,0.898729473425,73.00250244,70.02719488225,0.899989486,0.8057015002,0.085429221,-0.033935923949999995,0.499954879,0.685500091325
2020,Luxembourg,Europe,7.237500191,6.361702501775,11.45068073,10.273205376,0.906912208,0.898729473425,72.59999847,70.02719488225,0.90563643,0.8057015002,-0.004620588,-0.033935923949999995,0.367084295,0.685500091325
