Year,Country,Continent,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Life Choices,Generosity,Perceptions of Corruption,Average Continent Happiness Score,Average Continent GDP per Capita,Average Continent Social Support,Average Continent Healthy Life Expectancy,Average Continent Freedom to Make Life Choices,Average Continent Generosity,Average Continent Perceptions of Corruption
2020,Afghanistan,Asia,0.0,0.1956858977318192,0.23031877368355697,0.23382685063556807,0.0,0.2373314388490055,0.997700914784628,0.5228256734271443,0.6025384671403288,0.754344105662589,0.6485106915328265,0.6947403475380933,0.37008690518831616,0.7592173908666273
2021,Afghanistan,Asia,0.0,0.21140220358334694,0.0,0.1409880323069972,0.0,0.22474124649307828,0.9824990425041603,0.5293722911314006,0.5800386416516603,0.6800974373793518,0.6129535595896863,0.7148823912046476,0.36784557170290755,0.7566141909651164
2022,Afghanistan,Asia,0.0,0.34307745673946644,0.0,0.30645281329726615,0.0,0.18992925030313385,0.008318734846258754,0.5408436576122048,0.6522065745112973,0.673349188390661,0.6512679307434385,0.7145060278326065,0.33900616286856733,0.25896374699803015
2023,Afghanistan,Asia,0.0,0.29304463032953587,0.0,0.123582575294507,0.0,0.22053385260194192,0.8954316610428835,0.5794945536367438,0.6586413956169241,0.6857825417846686,0.5527476563865464,0.7141979453647537,0.3692132002637042,0.7443001974192132
2024,Afghanistan,Asia,0.0,0.29345136053326876,0.0,0.2820003502657167,0.0,0.2263802239498193,0.15383277823448718,0.5947133752289798,0.6612784195448327,0.680266239185924,0.6373852545119584,0.7280259175231328,0.387408386729349,0.2530242257129913
2020,Albania,Europe,0.44179478818575874,0.5900091942880006,0.5366382551162852,0.7438205729883014,0.6663286400148056,0.30014679324865035,0.9524323289253068,0.7239502530348927,0.7625118487058752,0.8840980223505005,0.7855568457797759,0.7073145450144434,0.3098657387069581,0.6971606165865342
2021,Albania,Europe,0.4877613261150367,0.5757403154927851,0.4512598690327966,0.7206845242281714,0.6857575549291568,0.3112322626276392,0.9552939079037165,0.7328568943497145,0.7557915309024728,0.8514677094359262,0.7639101305068394,0.7506960701042034,0.2934222990236541,0.7001629850226744
2022,Albania,Europe,0.5159492045026834,0.6510984931707298,0.48922575447039296,0.7633561317218757,0.6903913541686887,0.29574400614076085,0.048362764301409164,0.7505030085315225,0.7995253187266129,0.8591213805755784,0.765629573408151,0.7665854432948954,0.30514847040298937,0.32025533671919665
2023,Albania,Europe,0.5749680070686624,0.6588293219871054,0.5872940590937914,0.6842778782043628,0.7118146929796378,0.3148220627963683,0.9348693207878244,0.776666610800521,0.8050075408871152,0.8762086475061824,0.6957923769236322,0.779712600149261,0.3648069331579827,0.6664385971153352
2024,Albania,Europe,0.5952456647736528,0.671747798253662,0.5713319402572108,0.7441689240195932,0.7989168542031603,0.34402596625249693,0.08516768705981263,0.7881106916019196,0.8132619932022738,0.8671783850637377,0.7597497585859837,0.7900104108891878,0.3906408006456607,0.34924835471040827
2020,Algeria,Africa,0.4651455084242701,0.6142192164466194,0.7385807445830581,0.6551320581135605,0.12108378468530079,0.20869102093572028,0.7576897856618026,0.3561623433192016,0.3184980226510326,0.5614713969226144,0.3470091461889483,0.5474388263206035,0.329024501882738,0.8006159696749529
2021,Algeria,Africa,0.4444653515396581,0.5401955423068079,0.6521627320739406,0.6155098128973719,0.1665018896218523,0.2665595653265075,0.781349157651323,0.3781024054050698,0.31712481586379904,0.45689657914506565,0.2981009595408137,0.572590109328421,0.33881436749274507,0.7992953326917601
2022,Algeria,Africa,0.5018275295202088,0.6168121813651116,0.7346067465860783,0.6828741474653007,0.1972673379464387,0.22752026528779787,0.2553497131282705,0.39205585474018656,0.4499624617292818,0.4761287574780507,0.3980291211531635,0.557464540910697,0.31591374555035906,0.2127039051389891
2023,Algeria,Africa,0.58368096024471,0.6152537799012262,0.8014416926653773,0.583272766275551,0.32702619539310873,0.17425074530210832,0.7290048282700253,0.4306753814139869,0.4352335692021489,0.5106987246782883,0.24665549202081577,0.5483939266539063,0.35793232439344236,0.8124516418170392
2024,Algeria,Africa,0.605096645334797,0.6183269144853963,0.7365225563438478,0.6624171977546841,0.2861145197846053,0.22771121559640703,0.347753570106414,0.4448942828215481,0.44831501760918124,0.4997959711433249,0.38187108028120814,0.586469269174496,0.34680197589810613,0.20263410834384765
2020,Argentina,South America,0.650120171276761,0.6692793447819532,0.8869039567090391,0.7468475070039642,0.7512803261790597,0.12302348103937188,0.8866854064162092,0.6434449878632491,0.6021100121564645,0.8469650432859576,0.7031662347791798,0.727552947061028,0.2138143515774967,0.8528614261176222
